target,date,yhat,yhat_lower,yhat_upper,model,last_obs
BOR (%),2025-08-01,42.89445670778699,32.07436270509798,53.714550710476004,"ETS(add,None)",2025-07-01
BOR (%),2025-09-01,42.176664674273916,31.356570671584908,52.996758676962926,"ETS(add,None)",2025-07-01
BOR (%),2025-10-01,47.29375676456203,36.47366276187303,58.11385076725104,"ETS(add,None)",2025-07-01
BOR (%),2025-11-01,49.623947320357395,38.803853317668384,60.444041323046406,"ETS(add,None)",2025-07-01
BOR (%),2025-12-01,52.5194047896932,41.699310787004194,63.3394987923822,"ETS(add,None)",2025-07-01
BOR (%),2026-01-01,49.84748842874255,39.02739442605355,60.667582431431555,"ETS(add,None)",2025-07-01
BOR (%),2026-02-01,49.55591648037983,38.73582247769082,60.37601048306884,"ETS(add,None)",2025-07-01
BOR (%),2026-03-01,49.28727284548401,38.46717884279501,60.107366848173015,"ETS(add,None)",2025-07-01
BOR (%),2026-04-01,46.934589781883304,36.1144957791943,57.75468378457231,"ETS(add,None)",2025-07-01
BOR (%),2026-05-01,46.573597905915555,35.753503903226544,57.393691908604566,"ETS(add,None)",2025-07-01
BOR (%),2026-06-01,44.55940432583514,33.73931032314613,55.37949832852415,"ETS(add,None)",2025-07-01
BOR (%),2026-07-01,41.033027123492296,30.21293312080329,51.85312112618131,"ETS(add,None)",2025-07-01
BOR (%),2026-08-01,42.89445670778699,32.07436270509798,53.714550710476004,"ETS(add,None)",2025-07-01
BOR (%),2026-09-01,42.176664674273916,31.356570671584908,52.996758676962926,"ETS(add,None)",2025-07-01
BOR (%),2026-10-01,47.29375676456203,36.47366276187303,58.11385076725104,"ETS(add,None)",2025-07-01
BOR (%),2026-11-01,49.623947320357395,38.803853317668384,60.444041323046406,"ETS(add,None)",2025-07-01
BOR (%),2026-12-01,52.5194047896932,41.699310787004194,63.3394987923822,"ETS(add,None)",2025-07-01
BOR (%),2027-01-01,49.84748842874255,39.02739442605355,60.667582431431555,"ETS(add,None)",2025-07-01
AVLOS (Day),2025-08-01,2.999742905153543,2.5330184082277127,3.4664674020793735,"ETS(add,None)",2025-07-01
AVLOS (Day),2025-09-01,2.7161520047372085,2.249427507811378,3.182876501663039,"ETS(add,None)",2025-07-01
AVLOS (Day),2025-10-01,2.7924599796578926,2.325735482732062,3.259184476583723,"ETS(add,None)",2025-07-01
AVLOS (Day),2025-11-01,2.769602504200183,2.3028780072743524,3.2363270011260132,"ETS(add,None)",2025-07-01
AVLOS (Day),2025-12-01,2.8575745260518786,2.390850029126048,3.324299022977709,"ETS(add,None)",2025-07-01
AVLOS (Day),2026-01-01,3.0373163131239176,2.570591816198087,3.504040810049748,"ETS(add,None)",2025-07-01
AVLOS (Day),2026-02-01,3.0654414423098846,2.598716945384054,3.532165939235715,"ETS(add,None)",2025-07-01
AVLOS (Day),2026-03-01,2.976985008607826,2.5102605116819956,3.4437095055336564,"ETS(add,None)",2025-07-01
AVLOS (Day),2026-04-01,2.949780441612814,2.4830559446869835,3.4165049385386443,"ETS(add,None)",2025-07-01
AVLOS (Day),2026-05-01,2.9684096240363087,2.5016851271104783,3.435134120962139,"ETS(add,None)",2025-07-01
AVLOS (Day),2026-06-01,2.8467891468348396,2.3800646499090092,3.31351364376067,"ETS(add,None)",2025-07-01
AVLOS (Day),2026-07-01,2.9725000010723006,2.50577550414647,3.439224497998131,"ETS(add,None)",2025-07-01
AVLOS (Day),2026-08-01,2.999742905153543,2.5330184082277127,3.4664674020793735,"ETS(add,None)",2025-07-01
AVLOS (Day),2026-09-01,2.7161520047372085,2.249427507811378,3.182876501663039,"ETS(add,None)",2025-07-01
AVLOS (Day),2026-10-01,2.7924599796578926,2.325735482732062,3.259184476583723,"ETS(add,None)",2025-07-01
AVLOS (Day),2026-11-01,2.769602504200183,2.3028780072743524,3.2363270011260132,"ETS(add,None)",2025-07-01
AVLOS (Day),2026-12-01,2.8575745260518786,2.390850029126048,3.324299022977709,"ETS(add,None)",2025-07-01
AVLOS (Day),2027-01-01,3.0373163131239176,2.570591816198087,3.504040810049748,"ETS(add,None)",2025-07-01
NDR (/K),2025-08-01,24.81,0.0,54.29475885602926,S-Naive,2025-07-01
NDR (/K),2025-09-01,24.39125,0.0,53.87600885602926,S-Naive,2025-07-01
NDR (/K),2025-10-01,23.23875,0.0,52.723508856029255,S-Naive,2025-07-01
NDR (/K),2025-11-01,25.47375,0.0,54.958508856029255,S-Naive,2025-07-01
NDR (/K),2025-12-01,25.13375,0.0,54.61850885602926,S-Naive,2025-07-01
NDR (/K),2026-01-01,30.1375,0.65274114397074,59.62225885602926,S-Naive,2025-07-01
NDR (/K),2026-02-01,29.8525,0.36774114397073987,59.33725885602926,S-Naive,2025-07-01
NDR (/K),2026-03-01,22.075,0.0,51.55975885602926,S-Naive,2025-07-01
NDR (/K),2026-04-01,34.62375,5.138991143970742,64.10850885602926,S-Naive,2025-07-01
NDR (/K),2026-05-01,9.48875,0.0,38.973508856029255,S-Naive,2025-07-01
NDR (/K),2026-06-01,16.896250000000002,0.0,46.38100885602926,S-Naive,2025-07-01
NDR (/K),2026-07-01,10.32,0.0,39.80475885602926,S-Naive,2025-07-01
NDR (/K),2026-08-01,24.81,0.0,54.29475885602926,S-Naive,2025-07-01
NDR (/K),2026-09-01,24.39125,0.0,53.87600885602926,S-Naive,2025-07-01
NDR (/K),2026-10-01,23.23875,0.0,52.723508856029255,S-Naive,2025-07-01
NDR (/K),2026-11-01,25.47375,0.0,54.958508856029255,S-Naive,2025-07-01
NDR (/K),2026-12-01,25.13375,0.0,54.61850885602926,S-Naive,2025-07-01
NDR (/K),2027-01-01,30.1375,0.65274114397074,59.62225885602926,S-Naive,2025-07-01
GDR (/K),2025-08-01,45.45222222222222,4.5074074269069015,86.39703701753754,S-Naive,2025-07-01
GDR (/K),2025-09-01,42.35,1.4051852046846847,83.29481479531532,S-Naive,2025-07-01
GDR (/K),2025-10-01,46.27222222222222,5.327407426906902,87.21703701753754,S-Naive,2025-07-01
GDR (/K),2025-11-01,50.96222222222222,10.017407426906907,91.90703701753753,S-Naive,2025-07-01
GDR (/K),2025-12-01,53.85,12.905185204684685,94.79481479531532,S-Naive,2025-07-01
GDR (/K),2026-01-01,48.33,7.3851852046846815,89.27481479531531,S-Naive,2025-07-01
GDR (/K),2026-02-01,45.6,4.655185204684685,86.54481479531532,S-Naive,2025-07-01
GDR (/K),2026-03-01,46.644444444444446,5.699629649129129,87.58925923975977,S-Naive,2025-07-01
GDR (/K),2026-04-01,39.79,0.0,80.73481479531532,S-Naive,2025-07-01
GDR (/K),2026-05-01,28.95125,0.0,69.89606479531531,S-Naive,2025-07-01
GDR (/K),2026-06-01,40.5475,0.0,81.49231479531531,S-Naive,2025-07-01
GDR (/K),2026-07-01,28.2,0.0,69.14481479531531,S-Naive,2025-07-01
GDR (/K),2026-08-01,45.45222222222222,4.5074074269069015,86.39703701753754,S-Naive,2025-07-01
GDR (/K),2026-09-01,42.35,1.4051852046846847,83.29481479531532,S-Naive,2025-07-01
GDR (/K),2026-10-01,46.27222222222222,5.327407426906902,87.21703701753754,S-Naive,2025-07-01
GDR (/K),2026-11-01,50.96222222222222,10.017407426906907,91.90703701753753,S-Naive,2025-07-01
GDR (/K),2026-12-01,53.85,12.905185204684685,94.79481479531532,S-Naive,2025-07-01
GDR (/K),2027-01-01,48.33,7.3851852046846815,89.27481479531531,S-Naive,2025-07-01
TOI (Day),2025-08-01,2.550095693592469,1.3398536397852077,3.7603377473997304,"ETS(add,None)",2025-07-01
TOI (Day),2025-09-01,2.8012779321318964,1.591035878324635,4.011519985939158,"ETS(add,None)",2025-07-01
TOI (Day),2025-10-01,2.179311182618009,0.9690691288107476,3.3895532364252703,"ETS(add,None)",2025-07-01
TOI (Day),2025-11-01,1.881739573106397,0.6714975192991357,3.0919816269136584,"ETS(add,None)",2025-07-01
TOI (Day),2025-12-01,1.818736014502447,0.6084939606951856,3.0289780683097085,"ETS(add,None)",2025-07-01
TOI (Day),2026-01-01,1.977726945135998,0.7674848913287367,3.1879689989432594,"ETS(add,None)",2025-07-01
TOI (Day),2026-02-01,2.4123190278255047,1.2020769740182433,3.622561081632766,"ETS(add,None)",2025-07-01
TOI (Day),2026-03-01,2.1545256095374734,0.944283555730212,3.3647676633447348,"ETS(add,None)",2025-07-01
TOI (Day),2026-04-01,2.4383515146965067,1.2281094608892453,3.648593568503768,"ETS(add,None)",2025-07-01
TOI (Day),2026-05-01,2.102716950856496,0.8924748970492344,3.312959004663757,"ETS(add,None)",2025-07-01
TOI (Day),2026-06-01,2.185383647611874,0.9751415938046128,3.3956257014191356,"ETS(add,None)",2025-07-01
TOI (Day),2026-07-01,2.5999872418760916,1.3897451880688303,3.810229295683353,"ETS(add,None)",2025-07-01
TOI (Day),2026-08-01,2.550095693592469,1.3398536397852077,3.7603377473997304,"ETS(add,None)",2025-07-01
TOI (Day),2026-09-01,2.8012779321318964,1.591035878324635,4.011519985939158,"ETS(add,None)",2025-07-01
TOI (Day),2026-10-01,2.179311182618009,0.9690691288107476,3.3895532364252703,"ETS(add,None)",2025-07-01
TOI (Day),2026-11-01,1.881739573106397,0.6714975192991357,3.0919816269136584,"ETS(add,None)",2025-07-01
TOI (Day),2026-12-01,1.818736014502447,0.6084939606951856,3.0289780683097085,"ETS(add,None)",2025-07-01
TOI (Day),2027-01-01,1.977726945135998,0.7674848913287367,3.1879689989432594,"ETS(add,None)",2025-07-01
Rasio_AKI,2024-01-01,1.2691818518416405,1.0254394575136498,1.512924246169631,"ETS(add,None)",2023-12-01
Rasio_AKI,2024-02-01,1.2810732678787282,1.0373308735507376,1.5248156622067188,"ETS(add,None)",2023-12-01
Rasio_AKI,2024-03-01,1.292956448719509,1.0492140543915185,1.5366988430474997,"ETS(add,None)",2023-12-01
Rasio_AKI,2024-04-01,1.3048484736220634,1.0611060792940727,1.548590867950054,"ETS(add,None)",2023-12-01
Rasio_AKI,2024-05-01,1.316754224584465,1.0730118302564744,1.5604966189124556,"ETS(add,None)",2023-12-01
Rasio_AKI,2024-06-01,1.328636181838172,1.0848937875101814,1.5723785761661626,"ETS(add,None)",2023-12-01
Rasio_AKI,2024-07-01,1.3405384480051408,1.0967960536771502,1.5842808423331314,"ETS(add,None)",2023-12-01
Rasio_AKI,2024-08-01,1.352437424062079,1.1086950297340883,1.5961798183900695,"ETS(add,None)",2023-12-01
Rasio_AKI,2024-09-01,1.3643246519197163,1.1205822575917257,1.608067046247707,"ETS(add,None)",2023-12-01
Rasio_AKI,2024-10-01,1.3762229237181667,1.132480529390176,1.6199653180461573,"ETS(add,None)",2023-12-01
Rasio_AKI,2024-11-01,1.3881185259613424,1.1443761316333518,1.631860920289333,"ETS(add,None)",2023-12-01
Rasio_AKI,2024-12-01,1.4000000001770476,1.156257605849057,1.6437423945050382,"ETS(add,None)",2023-12-01
Rasio_AKI,2025-01-01,1.2691818518416405,1.0254394575136498,1.512924246169631,"ETS(add,None)",2023-12-01
Rasio_AKI,2025-02-01,1.2810732678787282,1.0373308735507376,1.5248156622067188,"ETS(add,None)",2023-12-01
Rasio_AKI,2025-03-01,1.292956448719509,1.0492140543915185,1.5366988430474997,"ETS(add,None)",2023-12-01
Rasio_AKI,2025-04-01,1.3048484736220634,1.0611060792940727,1.548590867950054,"ETS(add,None)",2023-12-01
Rasio_AKI,2025-05-01,1.316754224584465,1.0730118302564744,1.5604966189124556,"ETS(add,None)",2023-12-01
Rasio_AKI,2025-06-01,1.328636181838172,1.0848937875101814,1.5723785761661626,"ETS(add,None)",2023-12-01
Rasio_AKB,2024-01-01,1.6333424598924922,1.6310078832974875,1.6356770364874968,"ETS(add,add)",2023-12-01
Rasio_AKB,2024-02-01,1.6333492600618589,1.6310146834668542,1.6356838366568636,"ETS(add,add)",2023-12-01
Rasio_AKB,2024-03-01,1.633356139701995,1.6310215631069902,1.6356907162969996,"ETS(add,add)",2023-12-01
Rasio_AKB,2024-04-01,1.6333563612286022,1.6310217846335975,1.6356909378236069,"ETS(add,add)",2023-12-01
Rasio_AKB,2024-05-01,1.6333564801205507,1.631021903525546,1.6356910567155554,"ETS(add,add)",2023-12-01
Rasio_AKB,2024-06-01,1.6333479402783584,1.6310133636833537,1.635682516873363,"ETS(add,add)",2023-12-01
Rasio_AKB,2024-07-01,1.6333384004743055,1.6310038238793008,1.6356729770693101,"ETS(add,add)",2023-12-01
Rasio_AKB,2024-08-01,1.6333285283499681,1.6309939517549634,1.6356631049449728,"ETS(add,add)",2023-12-01
Rasio_AKB,2024-09-01,1.6333214390033086,1.630986862408304,1.6356560155983133,"ETS(add,add)",2023-12-01
Rasio_AKB,2024-10-01,1.6333186326720412,1.6309840560770366,1.635653209267046,"ETS(add,add)",2023-12-01
Rasio_AKB,2024-11-01,1.6333198285630537,1.630985251968049,1.6356544051580584,"ETS(add,add)",2023-12-01
Rasio_AKB,2024-12-01,1.6333260048625329,1.6309914282675282,1.6356605814575376,"ETS(add,add)",2023-12-01
Rasio_AKB,2025-01-01,1.5766684344525232,1.5743338578575186,1.579003011047528,"ETS(add,add)",2023-12-01
Rasio_AKB,2025-02-01,1.57667523462189,1.5743406580268853,1.5790098112168947,"ETS(add,add)",2023-12-01
Rasio_AKB,2025-03-01,1.576682114262026,1.5743475376670213,1.5790166908570307,"ETS(add,add)",2023-12-01
Rasio_AKB,2025-04-01,1.5766823357886333,1.5743477591936286,1.579016912383638,"ETS(add,add)",2023-12-01
Rasio_AKB,2025-05-01,1.5766824546805818,1.574347878085577,1.5790170312755865,"ETS(add,add)",2023-12-01
Rasio_AKB,2025-06-01,1.5766739148383895,1.5743393382433848,1.5790084914333942,"ETS(add,add)",2023-12-01
Rasio_BBLR,2025-07-01,0.0888888888888888,0.0,0.2316582955827155,S-Naive,2025-06-01
Rasio_BBLR,2025-08-01,0.0888888888888888,0.0,0.2316582955827155,S-Naive,2025-06-01
Rasio_BBLR,2025-09-01,0.0888888888888888,0.0,0.2316582955827155,S-Naive,2025-06-01
Rasio_BBLR,2025-10-01,0.3353535353535353,0.1925841286597086,0.478122942047362,S-Naive,2025-06-01
Rasio_BBLR,2025-11-01,0.3353535353535353,0.1925841286597086,0.478122942047362,S-Naive,2025-06-01
Rasio_BBLR,2025-12-01,0.3353535353535353,0.1925841286597086,0.478122942047362,S-Naive,2025-06-01
Rasio_BBLR,2026-01-01,0.0181818181818181,0.0,0.1609512248756448,S-Naive,2025-06-01
Rasio_BBLR,2026-02-01,0.0181818181818181,0.0,0.1609512248756448,S-Naive,2025-06-01
Rasio_BBLR,2026-03-01,0.0181818181818181,0.0,0.1609512248756448,S-Naive,2025-06-01
Rasio_BBLR,2026-04-01,0.0626262626262626,0.0,0.2053956693200893,S-Naive,2025-06-01
Rasio_BBLR,2026-05-01,0.0626262626262626,0.0,0.2053956693200893,S-Naive,2025-06-01
Rasio_BBLR,2026-06-01,0.0626262626262626,0.0,0.2053956693200893,S-Naive,2025-06-01
Rasio_BBLR,2026-07-01,0.0888888888888888,0.0,0.2316582955827155,S-Naive,2025-06-01
Rasio_BBLR,2026-08-01,0.0888888888888888,0.0,0.2316582955827155,S-Naive,2025-06-01
Rasio_BBLR,2026-09-01,0.0888888888888888,0.0,0.2316582955827155,S-Naive,2025-06-01
Rasio_BBLR,2026-10-01,0.3353535353535353,0.1925841286597086,0.478122942047362,S-Naive,2025-06-01
Rasio_BBLR,2026-11-01,0.3353535353535353,0.1925841286597086,0.478122942047362,S-Naive,2025-06-01
Rasio_BBLR,2026-12-01,0.3353535353535353,0.1925841286597086,0.478122942047362,S-Naive,2025-06-01
